,ENCnum,ENCtime
841,4294966456.0,20673555.0
842,4294966455.0,20676480.0
843,4294966454.0,20679409.0
844,4294966453.0,20682339.0
845,4294966452.0,20685268.0
846,4294966451.0,20688198.0
847,4294966450.0,20691127.0
848,4294966449.0,20694058.0
849,4294966448.0,20696991.0
850,4294966447.0,20699924.0
851,4294966446.0,20702854.0
852,4294966445.0,20705782.0
853,4294966444.0,20708710.0
854,4294966443.0,20711636.0
855,4294966442.0,20714562.0
856,4294966441.0,20717488.0
857,4294966440.0,20720412.0
858,4294966439.0,20723330.0
859,4294966438.0,20726246.0
860,4294966437.0,20729159.0
861,4294966436.0,20732066.0
862,4294966435.0,20734969.0
863,4294966434.0,20737866.0
864,4294966433.0,20740758.0
865,4294966432.0,20743644.0
866,4294966431.0,20746530.0
867,4294966430.0,20749417.0
868,4294966429.0,20752296.0
869,4294966428.0,20755167.0
870,4294966427.0,20758032.0
871,4294966426.0,20760896.0
872,4294966425.0,20763756.0
873,4294966424.0,20766611.0
874,4294966423.0,20769463.0
875,4294966422.0,20772312.0
876,4294966421.0,20775159.0
877,4294966420.0,20778003.0
878,4294966419.0,20780849.0
879,4294966418.0,20783696.0
880,4294966417.0,20786545.0
881,4294966416.0,20789392.0
882,4294966415.0,20792235.0
883,4294966414.0,20795078.0
884,4294966413.0,20797921.0
885,4294966412.0,20800767.0
886,4294966411.0,20803614.0
887,4294966410.0,20806463.0
888,4294966409.0,20809312.0
889,4294966408.0,20812161.0
890,4294966407.0,20815010.0
891,4294966406.0,20817864.0
892,4294966405.0,20820713.0
893,4294966404.0,20823561.0
894,4294966403.0,20826412.0
895,4294966402.0,20829266.0
896,4294966401.0,20832120.0
897,4294966400.0,20834975.0
898,4294966399.0,20837829.0
899,4294966398.0,20840682.0
900,4294966397.0,20843535.0
901,4294966396.0,20846384.0
902,4294966395.0,20849229.0
903,4294966394.0,20852072.0
904,4294966393.0,20854909.0
905,4294966392.0,20857745.0
906,4294966391.0,20860575.0
907,4294966390.0,20863405.0
908,4294966389.0,20866232.0
909,4294966388.0,20869053.0
910,4294966387.0,20871870.0
911,4294966386.0,20874682.0
912,4294966385.0,20877490.0
913,4294966384.0,20880299.0
914,4294966383.0,20883108.0
915,4294966382.0,20885915.0
916,4294966381.0,20888723.0
917,4294966380.0,20891539.0
918,4294966379.0,20894355.0
919,4294966378.0,20897172.0
920,4294966377.0,20899988.0
921,4294966376.0,20902805.0
922,4294966375.0,20905623.0
923,4294966374.0,20908438.0
924,4294966373.0,20911253.0
925,4294966372.0,20914070.0
926,4294966371.0,20916881.0
927,4294966370.0,20919689.0
928,4294966369.0,20922496.0
